ProjectID,ProjectDuration,TotalSpent,TotalBudget,CPI,StartingDate,FinishDate,ProjectYear,WorkTypeId,ProjectCategoryId,ProjectTypeId,City,ProjectAreaCode,ProjectDirectors,ClientName,AreaName,CountryName,MainDesignOffice,Budgetspentpercentage
2987,20,14800.25,NULL,0,NULL,NULL,NULL,1,2,1,,70,Bashar Rihani,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
2987,30,20462.75,NULL,0,NULL,NULL,NULL,1,2,1,,70,Bashar Rihani,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
2987,40,29429.25,NULL,0,NULL,NULL,NULL,1,2,1,,70,Bashar Rihani,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
2987,50,37639,NULL,0,NULL,NULL,NULL,1,2,1,,70,Bashar Rihani,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
2987,60,40997.5,NULL,0,NULL,NULL,NULL,1,2,1,,70,Bashar Rihani,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
2988,90,64601.75,NULL,0,NULL,NULL,NULL,1,1,1,MANAMA,70,Joseph Hajjar,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
2988,100,64621.25,NULL,0,NULL,NULL,NULL,1,1,1,MANAMA,70,Joseph Hajjar,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
2988,30,38197,NULL,0,NULL,NULL,NULL,1,1,1,MANAMA,70,Joseph Hajjar,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
2988,40,46736,NULL,0,NULL,NULL,NULL,1,1,1,MANAMA,70,Joseph Hajjar,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
2988,50,57244.5,NULL,0,NULL,NULL,NULL,1,1,1,MANAMA,70,Joseph Hajjar,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
2988,60,62930.75,NULL,0,NULL,NULL,NULL,1,1,1,MANAMA,70,Joseph Hajjar,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
2988,70,64570.5,NULL,0,NULL,NULL,NULL,1,1,1,MANAMA,70,Joseph Hajjar,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
2988,80,64570.5,NULL,0,NULL,NULL,NULL,1,1,1,MANAMA,70,Joseph Hajjar,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
2988,10,14996,NULL,0,NULL,NULL,NULL,1,1,1,MANAMA,70,Joseph Hajjar,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
2988,20,30974.75,NULL,0,NULL,NULL,NULL,1,1,1,MANAMA,70,Joseph Hajjar,HOUSING AND URBAN DEVELOPMENT COMMITTEE (HUDC),Bahrain,Bahrain,38,0
